subj,freq,ptype,dur,itemN,rt,error,ID
3,HF,unrel,66ms,55,410.9,0,dj
3,HF,unrel,66ms,56,415.3,0,dj
3,HF,unrel,66ms,57,483.1,0,dj
3,HF,unrel,66ms,58,418.2,0,dj
3,HF,unrel,66ms,59,407.9,0,dj
3,HF,unrel,66ms,60,467.4,0,dj
3,LF,unrel,66ms,73,586.3,0,dj
3,LF,unrel,66ms,74,433.4,0,dj
3,LF,unrel,66ms,75,422.1,0,dj
3,LF,unrel,66ms,76,475.9,0,dj
3,LF,unrel,66ms,77,496.9,0,dj
3,LF,unrel,66ms,78,448.3,1,dj
3,LF,unrel,66ms,79,473.3,1,dj
3,LF,unrel,66ms,80,389.8,0,dj
3,LF,unrel,66ms,81,388.4,1,dj
3,LF,unrel,66ms,82,467.2,1,dj
3,LF,unrel,66ms,83,527.1,1,dj
3,LF,unrel,66ms,84,394.1,1,dj
3,HF,unrel,33ms,61,436.9,0,dj
3,HF,unrel,33ms,62,439.1,0,dj
3,HF,unrel,33ms,63,442.7,1,dj
3,HF,unrel,33ms,64,404.1,0,dj
3,HF,unrel,33ms,65,423.2,0,dj
3,HF,unrel,33ms,66,519,0,dj
3,HF,unrel,33ms,67,437.8,0,dj
3,HF,unrel,33ms,68,486.1,0,dj
3,HF,unrel,33ms,69,449,0,dj
3,HF,unrel,33ms,70,427.1,0,dj
3,HF,unrel,33ms,71,441.1,0,dj
3,HF,unrel,33ms,72,494.8,0,dj
3,LF,unrel,33ms,85,542,1,dj
3,LF,unrel,33ms,86,596.6,0,dj
3,LF,unrel,33ms,87,466.7,0,dj
3,LF,unrel,33ms,88,575,0,dj
3,LF,unrel,33ms,89,479.2,1,dj
3,LF,unrel,33ms,90,458.9,1,dj
3,LF,unrel,33ms,91,432.4,0,dj
3,LF,unrel,33ms,92,436.9,0,dj
3,LF,unrel,33ms,93,550.8,0,dj
3,LF,unrel,33ms,94,441.2,0,dj
3,LF,unrel,33ms,95,434.8,1,dj
3,LF,unrel,33ms,96,635.6,0,dj
4,HF,rel,66ms,1,835,0,cc
4,HF,rel,66ms,2,696,0,cc
4,HF,rel,66ms,3,758.7,0,cc
4,HF,rel,66ms,4,771.9,0,cc
4,HF,rel,66ms,5,535.8,0,cc
4,HF,rel,66ms,6,1029.7,0,cc
4,HF,rel,66ms,7,669.6,0,cc
4,HF,rel,66ms,8,868.3,0,cc
4,HF,rel,66ms,9,771.5,0,cc
4,HF,rel,66ms,10,814.5,0,cc
4,HF,rel,66ms,11,644.1,0,cc
4,HF,rel,66ms,12,787.2,0,cc
4,LF,rel,66ms,25,1131,0,cc
4,LF,rel,66ms,26,654.2,0,cc
4,LF,rel,66ms,27,1520.3,1,cc
4,LF,rel,66ms,28,647.3,0,cc
4,LF,rel,66ms,29,1061.3,0,cc
4,LF,rel,66ms,30,2267,1,cc
4,LF,rel,66ms,31,754.7,0,cc
4,LF,rel,66ms,32,1141,0,cc
4,LF,rel,66ms,33,604.5,0,cc
4,LF,rel,66ms,34,1173.3,0,cc
4,LF,rel,66ms,35,806.4,0,cc
4,LF,rel,66ms,36,2476.9,1,cc
4,HF,rel,33ms,13,760.1,0,cc
4,HF,rel,33ms,14,739.8,0,cc
4,HF,rel,33ms,15,946.6,0,cc
4,HF,rel,33ms,16,733,0,cc
4,HF,rel,33ms,17,1670.3,1,cc
4,HF,rel,33ms,18,1653.6,1,cc
4,HF,rel,33ms,19,822.8,0,cc
4,HF,rel,33ms,20,690,0,cc
4,HF,rel,33ms,21,691.9,0,cc
4,HF,rel,33ms,22,1132.9,0,cc
4,HF,rel,33ms,23,820.6,0,cc
4,HF,rel,33ms,24,851.5,0,cc
4,LF,rel,33ms,37,1697.4,1,cc
4,LF,rel,33ms,38,846,0,cc
4,LF,rel,33ms,39,978.7,0,cc
4,LF,rel,33ms,40,948.3,0,cc
4,LF,rel,33ms,41,830.3,0,cc
4,LF,rel,33ms,42,1064.9,0,cc
4,LF,rel,33ms,43,793,0,cc
4,LF,rel,33ms,44,2326.7,1,cc
